therapistID,exerciseID,instruction_step,correct,truth
P1,5,0,1,1
P1,5,1,1,1
P1,5,2,1,1
P1,5,3,1,1
P1,5,4,1,0
P1,5,5,1,0
P1,5,6,1,1
P1,5,7,1,1
P1,5,8,1,0
P1,5,9,1,1
P1,10,0,1,1
P1,10,1,1,1
P1,10,2,1,1
P1,10,3,1,1
P1,10,4,1,0
P1,10,5,1,0
P1,10,6,0,1
P1,10,7,1,1
P1,10,8,1,0
P1,10,9,1,0
P1,10,10,1,0
P1,10,11,1,1
P1,10,12,1,1
P2,1,0,1,1
P2,1,1,1,1
P2,1,2,1,1
P2,1,3,1,1
P2,1,4,1,1
P2,1,5,1,1
P2,1,6,1,0
P2,1,7,1,1
P2,1,8,1,1
P2,1,9,1,1
P2,1,10,1,1
P2,6,0,1,1
P2,6,1,1,1
P2,6,2,1,1
P2,6,3,1,1
P2,6,4,1,1
P2,6,5,1,1
P2,6,6,1,1
P2,6,7,1,0
P2,6,8,1,0
P3,9,0,1,1
P3,9,1,1,1
P3,9,2,1,1
P3,9,3,1,0
P3,9,4,1,0
P3,9,5,1,1
P3,9,6,1,1
P3,9,7,1,1
P3,9,8,1,1
P3,9,9,1,0
P3,9,10,1,1
P3,9,11,1,1
P3,3,0,1,1
P3,3,1,1,1
P3,3,2,0,1
P3,3,3,1,0
P3,3,4,1,0
P3,3,5,1,1
P3,3,6,0,1
P4,4,0,1,1
P4,4,1,1,1
P4,4,2,1,0
P4,4,3,1,1
P4,4,4,1,1
P4,4,5,1,1
P4,4,6,1,0
P4,4,7,1,1
P4,4,8,1,1
P4,4,9,1,1
P4,4,10,1,1
P4,9,0,1,1
P4,9,1,1,1
P4,9,2,1,1
P4,9,3,1,1
P4,9,4,1,1
P4,9,5,1,0
P4,9,6,1,1
P4,9,7,1,1
P5,10,0,1,1
P5,10,1,1,1
P5,10,2,1,1
P5,10,3,0,1
P5,10,4,0,0
P5,10,5,1,0
P5,10,6,1,0
P5,10,7,1,0
P5,1,0,0,1
P5,1,1,1,1
P5,1,2,1,1
P5,1,3,0,1
P5,1,4,1,1
P5,1,5,0,1
P5,1,6,1,1
P5,1,7,1,1
P5,1,8,1,0
P5,1,9,1,0
P5,1,10,1,0
P6,2,0,1,1
P6,2,1,1,1
P6,2,2,0,1
P6,2,3,1,1
P6,2,4,1,1
P6,2,5,1,0
P6,2,6,1,1
P6,2,7,1,0
P6,2,8,1,1
P6,2,9,1,1
P6,7,0,1,1
P6,7,1,1,1
P6,7,2,0,1
P6,7,3,0,0
P6,7,4,1,1
P6,7,5,1,1
P6,7,6,1,1
P6,7,7,0,1
P6,7,8,1,1
P6,7,9,1,0
P6,7,10,1,1
P6,7,11,1,1
P6,7,12,1,1
P6,7,13,0,0
P6,7,14,1,1
P7,6,0,1,1
P7,6,1,1,1
P7,6,2,1,1
P7,6,3,1,1
P7,6,4,1,0
P7,6,5,0,1
P7,6,6,1,0
P7,6,7,1,1
P7,6,8,1,1
P7,6,9,1,0
P7,6,10,1,1
P7,4,0,0,1
P7,4,1,1,1
P7,4,2,1,0
P7,4,3,1,1
P7,4,4,1,0
P7,4,5,1,0
P7,4,6,1,1
P7,4,7,1,0
P7,4,8,1,1
P7,4,9,1,1
P8,7,0,1,1
P8,7,1,1,1
P8,7,2,1,0
P8,7,3,1,0
P8,7,4,1,0
P8,7,5,1,1
P8,7,6,1,1
P8,7,7,1,0
P8,7,8,1,0
P8,7,9,1,1
P8,7,10,1,1
P8,5,0,1,1
P8,5,1,0,1
P8,5,2,1,0
P9,8,0,1,1
P9,8,1,1,0
P9,8,2,1,1
P9,8,3,0,0
P9,8,4,1,0
P9,8,5,1,1
P9,8,6,1,0
P9,8,7,0,1
P9,8,8,1,0
P9,8,9,1,1
P9,8,10,0,0
P9,2,0,1,1
P9,2,1,1,0
P9,2,2,1,1
P9,2,3,1,0
P9,2,4,1,0
P9,2,5,1,0
P9,2,6,0,1
P10,3,0,1,1
P10,3,1,1,1
P10,3,2,1,1
P10,3,3,1,1
P10,3,4,1,1
P10,3,5,1,1
P10,3,6,1,0
P10,3,7,1,1
P10,3,8,1,0
P10,3,9,1,1
P10,6,0,1,1
P10,6,1,0,1
P10,6,2,1,1
P10,6,3,1,1
P10,6,4,1,1
P10,6,5,1,1
P10,6,6,1,1
P10,6,7,1,0
P10,6,8,1,0
P10,6,9,0,0
P10,6,10,1,1
P10,6,11,0,1
P10,6,12,0,1
